transaction_id,amount,historical_avg,amount_ratio,device_changed,location_changed,unusual_hour,velocity_1h,payment_method_changed,is_fraud
MLTXN0086,4300,2348,1.83,1,0,0,1,0,0
MLTXN0087,3069,993,3.09,1,0,0,1,0,0
MLTXN0088,2015,1923,1.05,0,0,0,1,0,0
MLTXN0089,5883,2816,2.09,0,1,0,1,0,0
MLTXN0090,5101,2120,2.41,0,0,0,1,0,0
MLTXN0091,10219,3019,3.38,1,0,0,1,0,0
MLTXN0092,6083,2730,2.23,0,0,0,1,0,0
MLTXN0093,3569,1248,2.86,0,0,0,1,0,0
MLTXN0094,923,829,1.11,0,0,0,3,0,0
MLTXN0095,9713,4528,2.15,0,0,0,1,0,0
MLTXN0096,17358,4558,3.81,0,0,0,1,0,0
MLTXN0097,12909,3811,3.39,0,0,0,1,0,0
MLTXN0098,14482,4583,3.16,0,0,0,1,0,0
MLTXN0099,26295,1494,17.6,1,1,1,3,1,1
MLTXN0100,4351,1263,3.44,0,1,0,1,1,0
MLTXN0101,4211,2890,1.46,0,1,0,1,0,0
MLTXN0102,4559,4663,0.98,0,0,0,1,0,0
MLTXN0103,4005,2688,1.49,0,0,1,1,0,0
MLTXN0104,8171,4912,1.66,0,0,0,2,1,0
MLTXN0105,3236,2456,1.32,0,0,0,1,0,0
MLTXN0106,11987,3662,3.27,0,0,1,1,1,0
MLTXN0107,11459,3219,3.56,0,0,0,1,0,0
MLTXN0108,36392,1764,20.63,1,1,1,3,1,1
MLTXN0109,7834,4871,1.61,0,0,0,1,0,0
MLTXN0110,8886,2854,3.11,0,0,0,2,0,0
MLTXN0111,1952,2953,0.66,0,0,0,1,0,0
MLTXN0112,12994,1975,6.58,1,1,0,7,0,1
MLTXN0113,9018,4277,2.11,0,0,0,1,0,0
MLTXN0114,1889,1105,1.71,0,0,0,1,0,0
MLTXN0115,7430,2131,3.49,0,0,0,1,0,0
MLTXN0116,1904,679,2.8,0,0,0,1,0,0
MLTXN0117,16724,4569,3.66,0,0,0,1,0,0
MLTXN0118,7718,2553,3.02,0,0,0,2,0,0
MLTXN0119,1869,3030,0.62,0,0,0,1,0,0
MLTXN0120,33850,2144,15.79,1,1,1,4,0,1
MLTXN0121,6817,4447,1.53,0,0,0,1,0,0
MLTXN0122,7126,2348,3.03,1,1,0,1,0,0
MLTXN0123,573,614,0.93,0,0,0,1,0,0
MLTXN0124,34284,3543,9.68,0,1,1,7,0,1
MLTXN0125,2161,1017,2.12,0,0,0,1,0,0
MLTXN0126,43971,4535,9.7,1,1,1,8,1,1
MLTXN0127,15257,4925,3.1,0,0,0,1,0,0
MLTXN0128,34638,2791,12.41,1,1,1,3,1,1
MLTXN0129,13764,3509,3.92,0,0,0,1,0,0
MLTXN0130,39048,4225,9.24,1,1,0,5,0,1
MLTXN0131,1865,1531,1.22,0,0,0,2,0,0
MLTXN0132,4417,1708,2.59,0,1,1,1,0,0
MLTXN0133,826,1400,0.59,0,0,0,1,0,0
MLTXN0134,12466,929,13.42,0,0,1,5,1,1
MLTXN0135,1777,1393,1.28,0,0,0,1,0,0
MLTXN0136,11008,755,14.58,1,1,1,6,0,1
MLTXN0137,1183,1161,1.02,0,0,0,1,0,0
MLTXN0138,10998,4846,2.27,0,0,0,1,1,0
MLTXN0139,8158,2261,3.61,0,0,0,1,0,0
MLTXN0140,5539,3060,1.81,0,1,0,2,0,0
MLTXN0141,2329,1291,1.8,0,0,1,1,0,0
MLTXN0142,10933,3865,2.83,0,0,0,3,0,0
MLTXN0143,51201,3380,15.15,0,1,1,5,1,1
MLTXN0144,37116,3511,10.57,1,1,1,7,1,1
MLTXN0145,2004,715,2.8,0,0,0,1,1,0
MLTXN0146,75591,3375,22.4,1,1,0,8,1,1
MLTXN0147,1567,1251,1.25,0,0,0,1,0,0
MLTXN0148,1248,1195,1.04,0,0,0,1,0,0
MLTXN0149,5170,4121,1.25,0,0,0,1,0,0
MLTXN0150,3174,4816,0.66,0,0,0,1,0,0
MLTXN0151,2457,1624,1.51,0,0,0,1,0,0
MLTXN0152,8149,2385,3.42,0,0,0,1,0,0
MLTXN0153,2860,1137,2.52,0,0,0,1,0,0
MLTXN0154,75689,3160,23.95,1,1,1,6,1,1
MLTXN0155,4741,2493,1.9,0,0,0,1,0,0
MLTXN0156,1011,1125,0.9,0,0,0,1,0,0
MLTXN0157,1730,1709,1.01,0,0,0,1,0,0
MLTXN0158,11245,4547,2.47,0,0,0,1,1,0
MLTXN0159,8482,3147,2.7,0,0,0,1,0,0
MLTXN0160,729,960,0.76,0,0,0,1,0,0
MLTXN0161,2818,1239,2.27,0,0,0,2,0,0
MLTXN0162,4420,2042,2.16,0,0,0,2,0,0
MLTXN0163,1314,1190,1.1,0,0,0,1,0,0
MLTXN0164,6596,3554,1.86,0,0,0,1,0,0
MLTXN0165,59416,3200,18.57,1,1,1,7,1,1
MLTXN0166,59019,3230,18.27,1,1,1,8,1,1
MLTXN0167,2171,1194,1.82,0,0,0,2,0,0
MLTXN0168,88585,4812,18.41,1,0,1,4,1,1
MLTXN0169,112073,4483,25.0,0,0,1,7,1,1
MLTXN0170,56482,4813,11.74,1,0,1,4,0,1
MLTXN0171,1212,1856,0.65,0,0,1,1,0,0
MLTXN0172,5585,4177,1.34,1,0,0,1,0,0
MLTXN0173,6107,4109,1.49,0,0,1,2,0,0
MLTXN0174,1115,1633,0.68,0,0,0,1,0,0
MLTXN0175,4823,1521,3.17,0,0,0,1,1,0
MLTXN0176,8336,2318,3.6,1,0,0,1,0,0
MLTXN0177,699,1168,0.6,1,0,0,1,0,0
MLTXN0178,6138,2850,2.15,0,0,0,1,1,0
MLTXN0179,2242,655,3.42,0,0,0,1,0,0
MLTXN0180,28984,2967,9.77,1,1,0,6,1,1
MLTXN0181,1593,634,2.51,0,0,0,1,0,0
MLTXN0182,1626,2034,0.8,1,0,0,1,1,0
MLTXN0183,1429,666,2.15,0,1,0,1,0,0
MLTXN0184,9307,3324,2.8,0,0,0,1,0,0
MLTXN0185,3642,3273,1.11,0,0,0,1,0,0
MLTXN0186,3863,1016,3.8,0,0,0,2,0,0
MLTXN0187,12044,3040,3.96,0,0,0,1,0,0
MLTXN0188,1481,891,1.66,0,0,0,1,1,0
MLTXN0189,4231,3667,1.15,0,0,0,1,0,0
MLTXN0190,67804,3977,17.05,1,1,1,3,1,1
MLTXN0191,7621,2921,2.61,0,0,0,1,1,0
MLTXN0192,6852,3388,2.02,0,0,0,1,0,0
MLTXN0193,13535,4703,2.88,1,0,0,1,0,0
MLTXN0194,2896,1050,2.76,0,1,0,1,0,0
MLTXN0195,11218,3538,3.17,0,0,0,1,0,0
MLTXN0196,12462,1429,8.72,1,1,0,5,1,1
MLTXN0197,3384,2257,1.5,1,0,0,2,0,0
MLTXN0198,13834,4146,3.34,1,1,0,1,0,0
MLTXN0199,10015,2878,3.48,0,1,0,1,0,0
MLTXN0200,4889,1494,3.27,0,0,0,1,0,0
MLTXN0201,1253,1563,0.8,0,1,0,1,0,0
MLTXN0202,12520,1104,11.34,0,1,1,4,1,1
MLTXN0203,1894,1990,0.95,0,0,0,1,0,0
MLTXN0204,5446,1826,2.98,0,1,0,2,0,0
MLTXN0205,30383,2748,11.06,1,1,0,7,0,1
MLTXN0206,8073,3265,2.47,0,0,0,1,0,0
MLTXN0207,4359,2226,1.96,0,0,0,1,1,0
MLTXN0208,14819,4456,3.33,0,0,0,1,0,0
MLTXN0209,11291,4304,2.62,0,0,0,2,1,0
MLTXN0210,3617,1571,2.3,0,0,0,1,0,0
MLTXN0211,1686,914,1.84,0,0,0,1,0,0
MLTXN0212,25060,3061,8.19,1,1,1,6,0,1
MLTXN0213,14450,3721,3.88,0,0,0,1,1,0
MLTXN0214,2302,4355,0.53,0,0,0,1,0,0
MLTXN0215,2172,870,2.5,0,0,0,1,0,0
MLTXN0216,7484,2791,2.68,0,0,0,1,1,0
MLTXN0217,4182,3495,1.2,0,0,0,1,0,0
MLTXN0218,4473,4380,1.02,0,0,0,1,0,0
MLTXN0219,6715,2951,2.28,0,0,0,1,0,0
MLTXN0220,12626,3213,3.93,0,0,0,1,0,0
MLTXN0221,12260,4387,2.79,1,0,0,1,0,0
MLTXN0222,12796,4794,2.67,0,0,0,1,1,0
MLTXN0223,19349,1400,13.82,1,1,0,7,1,1
MLTXN0224,13418,4363,3.08,0,0,0,1,0,0
MLTXN0225,18488,4804,3.85,0,0,0,1,1,0
MLTXN0226,3126,2665,1.17,0,0,0,3,0,0
MLTXN0227,8360,2867,2.92,0,0,0,2,0,0
MLTXN0228,52947,2857,18.53,1,1,1,4,0,1
MLTXN0229,2218,2856,0.78,1,0,0,1,0,0
MLTXN0230,7990,2721,2.94,0,0,0,1,0,0
MLTXN0231,6377,4850,1.31,0,0,0,1,0,0
MLTXN0232,6764,1793,3.77,0,0,0,3,0,0
MLTXN0233,800,984,0.81,0,0,0,2,1,0
MLTXN0234,6637,1934,3.43,1,0,0,1,0,0
MLTXN0235,1529,2871,0.53,0,0,1,1,1,0
MLTXN0236,17881,4950,3.61,0,0,0,2,0,0
MLTXN0237,12841,4259,3.02,0,0,0,1,0,0
MLTXN0238,8802,3821,2.3,0,0,0,1,0,0
MLTXN0239,32084,2532,12.67,1,0,1,7,1,1
MLTXN0240,1043,593,1.76,0,0,0,1,0,0
MLTXN0241,8335,3047,2.74,1,0,0,3,0,0
MLTXN0242,11075,4227,2.62,0,0,0,1,0,0
MLTXN0243,6595,2289,2.88,0,0,0,1,0,0
MLTXN0244,22637,1419,15.95,1,1,0,5,1,1
MLTXN0245,37516,4119,9.11,1,0,1,3,1,1
MLTXN0246,11636,4704,2.47,0,0,0,1,0,0
MLTXN0247,1323,524,2.52,0,0,0,3,1,0
MLTXN0248,2292,1065,2.15,0,0,0,1,0,0
MLTXN0249,14272,3943,3.62,0,0,0,1,1,0
MLTXN0250,109186,4917,22.21,0,1,1,4,1,1
MLTXN0251,7313,2324,3.15,1,0,0,1,0,0
MLTXN0252,4075,2381,1.71,0,1,0,1,0,0
MLTXN0253,14858,3934,3.78,0,0,0,1,0,0
MLTXN0254,588,898,0.65,0,0,0,1,0,0
MLTXN0255,10637,2869,3.71,0,0,0,2,0,0
MLTXN0256,3889,1673,2.32,0,0,0,1,0,0
MLTXN0257,3859,1934,2.0,0,1,0,1,0,0
MLTXN0258,6001,3111,1.93,0,0,0,1,0,0
MLTXN0259,6226,1682,3.7,0,1,0,1,0,0
MLTXN0260,1682,2165,0.78,0,0,0,2,0,0
MLTXN0261,9368,3589,2.61,0,0,0,1,0,0
MLTXN0262,16268,4427,3.67,0,0,0,1,0,0
MLTXN0263,12980,4423,2.93,0,0,0,1,0,0
MLTXN0264,7590,4319,1.76,0,0,0,1,1,0
MLTXN0265,7044,4346,1.62,0,0,0,2,0,0
MLTXN0266,2384,632,3.77,0,0,0,1,0,0
MLTXN0267,7014,2513,2.79,0,0,0,3,0,0
MLTXN0268,13846,4518,3.06,0,0,0,1,1,0
MLTXN0269,3371,981,3.44,0,0,0,1,0,0
MLTXN0270,19209,2395,8.02,1,1,0,8,1,1
MLTXN0271,2474,4458,0.56,0,0,0,1,0,0
MLTXN0272,60557,2848,21.26,1,1,1,3,1,1
MLTXN0273,42381,4795,8.84,1,1,0,6,0,1
MLTXN0274,5170,3826,1.35,0,0,0,1,1,0
MLTXN0275,9552,759,12.59,1,0,0,4,0,1
MLTXN0276,6727,4054,1.66,1,1,0,2,0,0
MLTXN0277,16413,4395,3.73,0,0,0,1,0,0
MLTXN0278,28124,3076,9.14,0,1,1,3,0,1
MLTXN0279,8575,2469,3.47,0,0,0,1,0,0
MLTXN0280,4465,1142,3.91,0,0,0,1,0,0
MLTXN0281,6157,3749,1.64,0,0,0,1,0,0
MLTXN0282,10292,3575,2.88,0,0,0,1,0,0
MLTXN0283,2145,1172,1.83,0,0,0,1,0,0
MLTXN0284,9573,3025,3.16,0,0,0,1,0,0
MLTXN0285,16257,1346,12.08,0,1,1,6,0,1
MLTXN0286,3097,3889,0.8,1,0,1,1,0,0
MLTXN0287,37549,3618,10.38,1,0,0,5,1,1
MLTXN0288,7878,4466,1.76,1,0,0,1,0,0
MLTXN0289,6148,1609,3.82,0,0,0,1,0,0
MLTXN0290,4217,1615,2.61,0,0,0,1,0,0
MLTXN0291,14637,4522,3.24,0,0,0,1,1,0
MLTXN0292,5147,2136,2.41,0,0,1,1,0,0
MLTXN0293,13948,4091,3.41,0,0,0,1,0,0
MLTXN0294,8360,2980,2.81,0,0,0,3,0,0
MLTXN0295,14119,3783,3.73,0,0,0,3,0,0
MLTXN0296,18125,4898,3.7,0,0,0,1,0,0
MLTXN0297,6265,3773,1.66,0,0,0,1,0,0
MLTXN0298,4317,2310,1.87,0,0,0,1,0,0
MLTXN0299,5047,1356,3.72,0,0,0,1,0,0
MLTXN0300,3772,2194,1.72,0,0,0,1,0,0
MLTXN0301,17104,1442,11.86,0,1,1,8,0,1
MLTXN0302,3199,1929,1.66,0,0,0,1,0,0
MLTXN0303,12447,4040,3.08,0,0,0,1,0,0
MLTXN0304,9259,2780,3.33,0,0,0,1,0,0
MLTXN0305,78223,4248,18.41,1,1,1,6,1,1
MLTXN0306,4964,1435,3.46,0,0,0,1,0,0
MLTXN0307,1906,1194,1.6,0,0,0,1,0,0
MLTXN0308,3226,1629,1.98,0,0,0,2,0,0
MLTXN0309,1849,1866,0.99,0,0,0,1,0,0
MLTXN0310,20514,1618,12.68,1,1,1,6,1,1
MLTXN0311,3265,4136,0.79,0,0,0,1,0,0
MLTXN0312,4655,1877,2.48,0,0,0,1,0,0
MLTXN0313,8829,4949,1.78,0,0,0,1,1,0
MLTXN0314,3730,1338,2.79,0,0,0,1,1,0
MLTXN0315,4822,1212,3.98,0,0,0,1,0,0
MLTXN0316,31193,4007,7.78,1,0,0,5,1,1
MLTXN0317,120762,4913,24.58,1,1,1,7,1,1
MLTXN0318,25602,1280,20.0,1,0,0,8,0,1
MLTXN0319,4745,1587,2.99,0,0,0,1,0,0
MLTXN0320,4897,2701,1.81,0,0,0,1,0,0
MLTXN0321,7779,3523,2.21,0,0,0,1,1,0
MLTXN0322,11280,3434,3.28,0,1,0,1,0,0
MLTXN0323,7122,2823,2.52,0,0,0,1,0,0
MLTXN0324,4508,1315,3.43,0,1,0,1,1,0
MLTXN0325,11652,4004,2.91,0,0,0,2,0,0
MLTXN0326,6219,3452,1.8,1,0,0,1,0,0
MLTXN0327,1981,2418,0.82,0,0,0,1,0,0
MLTXN0328,78390,4145,18.91,1,1,1,4,1,1
MLTXN0329,7262,2375,3.06,0,0,0,1,0,0
MLTXN0330,4563,1590,2.87,0,0,0,1,0,0
MLTXN0331,2312,2245,1.03,0,0,0,1,0,0
MLTXN0332,2781,1508,1.84,1,0,0,1,0,0
MLTXN0333,8266,2834,2.92,0,0,0,1,0,0
MLTXN0334,2563,3709,0.69,0,1,0,1,0,0
MLTXN0335,4240,1081,3.92,1,1,0,2,0,0
MLTXN0336,3859,3493,1.1,0,1,0,1,0,0
MLTXN0337,14077,2267,6.21,1,1,1,7,1,1
MLTXN0338,3130,3969,0.79,0,0,0,1,0,0
MLTXN0339,2259,2164,1.04,0,0,0,1,0,0
MLTXN0340,9287,3040,3.05,0,0,0,1,0,0
MLTXN0341,2941,950,3.1,0,0,0,1,0,0
MLTXN0342,10823,3340,3.24,0,0,0,1,0,0
MLTXN0343,884,1467,0.6,0,0,0,1,0,0
MLTXN0344,2587,1131,2.29,0,0,0,1,0,0
MLTXN0345,3294,1444,2.28,0,0,0,1,0,0
MLTXN0346,41854,1729,24.21,0,1,1,8,1,1
MLTXN0347,11620,3136,3.71,0,0,0,1,0,0
MLTXN0348,19632,931,21.09,1,1,0,6,1,1
MLTXN0349,7417,3045,2.44,0,0,0,1,0,0
MLTXN0350,16776,4300,3.9,1,0,0,1,0,0
MLTXN0351,22877,1733,13.2,1,1,1,3,1,1
MLTXN0352,928,511,1.82,0,0,0,3,0,0
MLTXN0353,988,990,1.0,0,0,0,2,0,0
MLTXN0354,11071,3551,3.12,0,0,0,1,0,0
MLTXN0355,3914,1010,3.87,0,0,0,2,0,0
MLTXN0356,4605,3172,1.45,0,0,0,1,0,0
MLTXN0357,2952,1846,1.6,0,0,0,1,0,0
MLTXN0358,31347,1482,21.15,1,1,1,4,1,1
MLTXN0359,61226,3185,19.22,1,1,0,5,0,1
MLTXN0360,25181,1924,13.09,1,1,0,6,0,1
MLTXN0361,10254,1645,6.23,1,0,0,6,1,1
MLTXN0362,1670,1188,1.41,0,0,0,2,0,0
MLTXN0363,34125,1555,21.95,1,0,1,3,0,1
MLTXN0364,7620,4048,1.88,0,0,0,1,0,0
MLTXN0365,2848,2792,1.02,0,0,0,1,1,0
MLTXN0366,46875,4424,10.6,0,0,1,7,0,1
MLTXN0367,19628,4953,3.96,0,0,0,1,1,0
MLTXN0368,6676,4615,1.45,0,0,0,2,0,0
MLTXN0369,13895,4364,3.18,1,1,0,1,0,0
MLTXN0370,3657,958,3.82,0,1,0,2,1,0
MLTXN0371,32403,1923,16.85,1,1,1,3,1,1
MLTXN0372,8357,3380,2.47,0,0,1,2,0,0
MLTXN0373,17456,3031,5.76,0,1,0,6,0,1
MLTXN0374,3639,2150,1.69,0,0,0,1,0,0
MLTXN0375,5748,1660,3.46,0,1,0,2,0,0
MLTXN0376,2162,1327,1.63,1,0,0,1,0,0
MLTXN0377,75538,3099,24.37,1,1,1,4,1,1
MLTXN0378,5942,1936,3.07,0,0,0,1,0,0
MLTXN0379,8694,765,11.36,1,1,1,3,1,1
MLTXN0380,1276,1652,0.77,0,0,0,3,0,0
MLTXN0381,4642,3250,1.43,0,0,0,1,0,0
MLTXN0382,7208,3661,1.97,0,0,0,1,0,0
MLTXN0383,11170,4427,2.52,0,0,0,1,0,0
MLTXN0384,2544,664,3.83,0,0,0,1,0,0
MLTXN0385,4983,1262,3.95,0,0,0,1,0,0
MLTXN0386,28494,4056,7.03,1,0,1,8,1,1
MLTXN0387,7314,4924,1.49,0,0,0,2,0,0
MLTXN0388,23330,3455,6.75,1,1,1,3,0,1
MLTXN0389,7444,1899,3.92,0,0,0,1,1,0
MLTXN0390,42406,2670,15.88,0,1,1,6,0,1
MLTXN0391,5299,4102,1.29,0,0,0,1,0,0
MLTXN0392,6463,3316,1.95,0,0,0,1,0,0
MLTXN0393,18456,4886,3.78,0,0,0,1,1,0
MLTXN0394,2863,784,3.65,0,0,0,1,0,0
MLTXN0395,2079,1916,1.09,0,0,0,1,0,0
MLTXN0396,5806,2154,2.7,0,0,0,2,0,0
MLTXN0397,8948,3679,2.43,0,0,0,1,0,0
MLTXN0398,4272,4780,0.89,0,0,0,3,0,0
MLTXN0399,1165,1365,0.85,0,0,0,1,0,0
MLTXN0400,9651,4477,2.16,0,0,0,1,0,0
MLTXN0401,6213,3742,1.66,0,0,0,2,0,0
MLTXN0402,10288,2982,3.45,0,0,1,1,0,0
MLTXN0403,6702,4129,1.62,0,0,0,1,1,0
MLTXN0404,12112,3835,3.16,0,0,0,1,0,0
MLTXN0405,15031,4651,3.23,0,0,0,2,0,0
MLTXN0406,2039,972,2.1,1,0,0,2,0,0
MLTXN0407,2039,1514,1.35,0,0,1,1,0,0
MLTXN0408,75994,3320,22.89,1,1,0,6,0,1
MLTXN0409,6237,2255,2.77,0,0,0,1,0,0
MLTXN0410,551,572,0.96,0,0,0,1,1,0
MLTXN0411,5008,2755,1.82,0,0,0,1,0,0
MLTXN0412,1973,3753,0.53,1,1,0,1,0,0
MLTXN0413,2473,2815,0.88,0,1,0,2,0,0
MLTXN0414,45224,2947,15.35,1,0,1,7,1,1
MLTXN0415,9430,3118,3.02,0,1,0,1,0,0
MLTXN0416,3142,789,3.98,0,0,0,1,0,0
MLTXN0417,12538,4397,2.85,0,0,0,2,0,0
MLTXN0418,4018,1299,3.09,0,0,0,2,1,0
MLTXN0419,1578,1231,1.28,0,0,0,1,0,0
MLTXN0420,9229,4299,2.15,0,0,0,1,1,0
MLTXN0421,85606,4599,18.61,1,1,1,4,0,1
MLTXN0422,8464,2140,3.96,0,1,0,2,0,0
MLTXN0423,3147,1162,2.71,0,0,0,1,0,0
MLTXN0424,1984,1881,1.05,0,0,0,1,0,0
MLTXN0425,7392,4014,1.84,0,0,0,1,0,0
MLTXN0426,89895,4850,18.53,1,0,1,5,1,1
MLTXN0427,3433,1341,2.56,0,0,0,1,0,0
MLTXN0428,17293,4793,3.61,1,0,0,1,0,0
MLTXN0429,36086,3804,9.49,1,0,0,7,0,1
MLTXN0430,11463,3503,3.27,0,0,0,1,0,0
MLTXN0431,2486,892,2.79,0,0,0,1,0,0
MLTXN0432,5348,4386,1.22,0,0,0,1,0,0
MLTXN0433,5916,1623,3.65,0,0,0,1,0,0
MLTXN0434,7284,2136,3.41,1,0,0,1,0,0
MLTXN0435,4803,2201,2.18,0,0,0,1,0,0
MLTXN0436,30927,4547,6.8,1,1,0,5,1,1
MLTXN0437,6515,4241,1.54,0,0,0,1,0,0
MLTXN0438,2772,3061,0.91,0,0,0,1,0,0
MLTXN0439,6486,3192,2.03,0,0,0,2,0,0
MLTXN0440,7936,3783,2.1,0,0,0,1,1,0
MLTXN0441,35311,1866,18.92,0,1,0,6,1,1
MLTXN0442,12802,4454,2.87,0,0,0,1,0,0
MLTXN0443,3467,1570,2.21,0,0,0,1,0,0
MLTXN0444,12085,4799,2.52,0,1,0,1,0,0
MLTXN0445,3895,1280,3.04,0,0,0,1,0,0
MLTXN0446,22432,947,23.69,1,1,1,4,0,1
MLTXN0447,7506,4527,1.66,0,0,0,1,0,0
MLTXN0448,3784,1145,3.3,0,0,0,1,0,0
MLTXN0449,8544,645,13.25,1,0,0,7,1,1
MLTXN0450,7392,2995,2.47,0,0,0,2,0,0
MLTXN0451,13451,4222,3.19,0,0,0,1,0,0
MLTXN0452,28030,2316,12.1,1,1,1,5,1,1
MLTXN0453,1946,875,2.22,0,0,0,1,0,0
MLTXN0454,2792,1489,1.88,0,0,0,1,0,0
MLTXN0455,3134,1509,2.08,0,1,0,1,0,0
MLTXN0456,1807,897,2.01,0,1,0,2,0,0
MLTXN0457,1825,1922,0.95,0,0,0,1,0,0
MLTXN0458,9809,2533,3.87,1,0,0,1,0,0
MLTXN0459,13878,4696,2.96,0,0,0,1,0,0
MLTXN0460,10726,2880,3.72,0,0,1,1,0,0
MLTXN0461,9931,3140,3.16,0,0,0,1,0,0
MLTXN0462,16888,4873,3.47,0,0,0,1,0,0
MLTXN0463,6944,2137,3.25,1,0,0,1,0,0
MLTXN0464,1331,2171,0.61,0,0,0,1,1,0
